idCategoria;nombreCategoria
1;1 ESTRELLA
2;2 ESTRELLAS
3;3 ESTRELLAS
4;4 ESTRELLAS
5;5 ESTRELLAS
6;1 TENEDOR
7;2 TENEDORES
8;3 TENEDORES
9;4 TENEDORES
10;5 TENEDORES
11;1 COPA
12;2 COPAS
13;3 COPAS
14;LUJO
15;Categoría única
16;UNA TAZA
17;DOS TAZAS
18;TRES TAZAS
19;CUATRO TAZAS
20;UNA COPA
21;DOS COPAS
22;TRES COPAS
23;AGENCIA DE VIAJES DUAL
24;AGENCIA DE VIAJES INTERNACIONAL
25;AGENCIA DE VIAJES MAYORISTA
26;PRIMERA
27;SEGUNDA
28;TERCERA
29;OPERADOR TURÍSTICO
30;SERVICIO TRANSP.TERRES.TURIS.
31;RENT A CAR
32;LAN_TOUR_DIARIO
33;LANC_PASAJE
34;YATES_PASAJ
35;MOTONAVES
36;SERVICIO NACIONAL AEREO
37;INTER_OPER
38;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE REPRESENTACIÓN O INFORMACIÓN
39;MOTO_Velero
40;SERVICIO AVIONETAS HELICOPTEROS
41;FLUVIAL
42;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE VENTA
43;FUNICULARES O TELEFÉRICOS POR CABINAS
