idCategoria;nuevaCategoria;idClasificacion;clasificacion
1;1 ESTRELLA;20;HOTEL
2;1 ESTRELLA-H;17;HOSTAL
3;1 ESTRELLA-HOS;19;HOSTERÍA
4;1 TENEDOR;30;RESTAURANTE
5;2 ESTRELLA-H;17;HOSTAL
6;2 ESTRELLAS;20;HOTEL
7;2 ESTRELLAS-H;17;HOSTAL
8;2 ESTRELLAS-HOS;19;HOSTERÍA
9;2 TENEDORES;30;RESTAURANTE
10;3 ESTRELLA-H;17;HOSTAL
11;3 ESTRELLAS;20;HOTEL
12;3 ESTRELLAS-H;17;HOSTAL
13;3 ESTRELLAS-HOS;19;HOSTERÍA
14;3 ESTRELLAS-HT;16;HACIENDA TURÍSTICA
15;3 ESTRELLAS-L;21;LODGE
16;3 TENEDORES;30;RESTAURANTE
17;4 ESTRELLAS;20;HOTEL
18;4 ESTRELLAS-HOS;19;HOSTERÍA
19;4 ESTRELLAS-HT;16;HACIENDA TURÍSTICA
20;4 ESTRELLAS-L;21;LODGE
21;4 ESTRELLAS-R;29;RESORT
22;4 TENEDORES;30;RESTAURANTE
23;5 ESTRELLAS;20;HOTEL
24;5 ESTRELLAS-H;17;HOSTAL
25;5 ESTRELLAS-HOS;19;HOSTERÍA
26;5 ESTRELLAS-HT;16;HACIENDA TURÍSTICA
27;5 ESTRELLAS-L;21;LODGE
28;5 ESTRELLAS-R;29;RESORT
29;5 TENEDORES;30;RESTAURANTE
30;AGENCIA DE VIAJES DUAL;1;AGENCIA DE VIAJES DUAL
31;AGENCIA DE VIAJES INTERNACIONAL;2;AGENCIA DE VIAJES INTERNACIONAL
32;AGENCIA DE VIAJES MAYORISTA;3;AGENCIA DE VIAJES MAYORISTA
33;CATEGORÍA ÚNICA;13;DISCOTECA
34;CATEGORÍA ÚNICA-CH;9;CASA DE HUÉSPEDES
35;CATEGORÍA ÚNICA-CT;8;CAMPAMENTO TURÍSTICO
36;CATEGORÍA ÚNICA-CTC;12;CENTRO DE TURISMO COMUNITARIO
37;CATEGORÍA ÚNICA-EM;14;ESTABLECIMIENTO MÓVIL
38;CATEGORÍA ÚNICA-OE;23;ORGANIZADORES DE EVENTOS, CONGRESOS Y CONVENCIONES
39;CATEGORÍA ÚNICA-PC;27;PLAZAS DE COMIDA
40;CATEGORÍA ÚNICA-RE;28;REFUGIO
41;CATEGORÍA ÚNICA-SC;33;SERVICIO DE CATERING
42;CUATRO TAZAS;7;CAFETERÍA
43;DOS COPAS;4;BAR
44;DOS COPAS-D;13;DISCOTECA
45;DOS TAZAS;7;CAFETERÍA
46;FLUVIAL;36;TRANSPORTE MARITIMO Y FLUVIAL
47;FUNICULARES O TELEFÉRICOS POR CABINAS;35;TRANSPORTE AÉREO
48;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE REPRESENTACIÓN O INFORMACIÓN;35;TRANSPORTE AÉREO
49;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE VENTA;35;TRANSPORTE AÉREO
50;INTER_OPER;35;TRANSPORTE AÉREO
51;LANC_PASAJE;36;TRANSPORTE MARITIMO Y FLUVIAL
52;LAN_TOUR_DIARIO;36;TRANSPORTE MARITIMO Y FLUVIAL
53;LUJO-D;13;DISCOTECA
54;LUJO-SRB;32;SALA DE RECEPCIONES Y BANQUETES
55;MOTONAVES;36;TRANSPORTE MARITIMO Y FLUVIAL
