nombreCanton;idCanton;idProvincia
CUENCA;0101;01
ATACAMES;0806;08
SANTA ELENA;2401;24
QUITO;1701;17
GUAYAQUIL;0901;09
LIMÓN INDANZA;1403;14
TENA;1501;15
MORONA;1401;14
SANTA ISABEL;0108;01
GUALACEO;0103;01
PASTAZA;1601;16
NARANJAL;0911;09
LA JOYA DE LOS SACHAS;2203;22
PASAJE;0709;07
GIRÓN;0102;01
HUAQUILLAS;0707;07
IBARRA;1001;10
SANTIAGO;1405;14
CHORDELEG;0111;01
SUCÚA;1406;14
RUMIÑAHUI;1705;17
EL CHACO;1504;15
SEVILLA DE ORO;0113;01
LOGROÑO;1410;14
SALINAS;2403;24
LOJA;1101;11
GUALAQUIZA;1402;14
MANTA;1308;13
ZAMORA;1901;19
AZOGUES;0301;03
ORELLANA;2201;22
PALORA;1404;14
SANTA CRUZ;2003;20
OÑA;0110;01
PAUTE;0105;01
PUERTO QUITO;1709;17
SIGSIG;0109;01
MACHALA;0701;07
VINCES;1208;12
BIBLIÁN;0302;03
AMBATO;1801;18
PUERTO LÓPEZ;1319;13
SHUSHUFINDI;2104;21
MONTÚFAR;0405;04
SAN JUAN BOSCO;1408;14
GUARANDA;0201;02
EL TRIUNFO;0909;09
ISABELA;2002;20
SAN FERNANDO;0107;01
PEDERNALES;1317;13
RIOBAMBA;0601;06
CAYAMBE;1702;17
CAÑAR;0303;03
GUACHAPALA;0114;01
SANTIAGO DE PÍLLARO;1808;18
PUCARÁ;0106;01
MEJÍA;1703;17
NABÓN;0104;01
PAJÁN;1310;13
EL PAN;0112;01
SAMBORONDÓN;0916;09
LA TRONCAL;0304;03
CHINCHIPE;1902;19
PEDRO VICENTE MALDONADO;1708;17
MUISNE;0803;08
TIWINTZA;1412;14
CAMILO PONCE ENRÍQUEZ;0115;01
SARAGURO;1111;11
LATACUNGA;0501;05
QUEVEDO;1205;12
JIPIJAPA;1306;13
SUCRE;1314;13
ARENILLAS;0702;07
LAGO AGRIO;2101;21
EL TAMBO;0305;03
DELEG;0306;03
ECHEANDÍA;0204;02
MILAGRO;0910;09
CASCALES;2106;21
CHIMBO;0203;02
LORETO;2204;22
LA CONCORDIA;0808;08
PORTOVIEJO;1301;13
SAN VICENTE;1322;13
