idProvincia;nombreProvincia;idPais;poblacion
01;AZUAY;EC;881394
02;ESMERALDAS;EC;643654
03;SANTA ELENA;EC;401178
04;PICHINCHA;EC;3228233
05;GUAYAS;EC;4387434
06;MORONA SANTIAGO;EC;196535
07;NAPO;EC;133705
08;PASTAZA;EC;114202
09;ORELLANA;EC;161338
10;EL ORO;EC;715751
11;IMBABURA;EC;476257
12;LOJA;EC;521154
13;MANABÍ;EC;1562079
14;ZAMORA CHINCHIPE;EC;120416
15;CAÑAR;EC;281396
16;GALÁPAGOS;EC;33042
17;LOS RÍOS;EC;921763
18;TUNGURAHUA;EC;590600
19;SUCUMBÍOS;EC;230503
20;CARCHI;EC;186869
21;BOLÍVAR;EC;209933
22;SANTO DOMINGO DE LOS TSÁCHILAS;EC;458580
23;CHIMBORAZO;EC;524004
24;COTOPAXI;EC;488716
