idVenta;ventaTotal;anio;idProvincia;;;
1;90181923;2019;1;;;
2;47458823;2020;1;;;
3;1262546922;2021;1;;;
4;899316;2019;21;;;
5;317620;2020;21;;;
6;12590424;2021;21;;;
7;2572326;2019;15;;;
8;828067;2020;15;;;
9;36012564;2021;15;;;
10;4560897;2019;20;;;
11;2465885;2020;20;;;
12;63852558;2021;20;;;
13;18197467;2019;23;;;
14;10999051;2020;23;;;
15;254764538;2021;23;;;
16;13086564;2019;24;;;
17;6862718;2020;24;;;
18;183211896;2021;24;;;
19;33745655;2019;10;;;
20;25033180;2020;10;;;
21;472439170;2021;10;;;
22;15637885;2019;2;;;
23;11732188;2020;2;;;
24;218930390;2021;2;;;
25;13252111;2019;14;;;
26;8568509;2020;14;;;
27;185529554;2021;14;;;
28;43661874;2019;18;;;
29;22778171;2020;18;;;
30;611266236;2021;18;;;
31;24314583;2019;19;;;
32;16566844;2020;19;;;
33;340404162;2021;19;;;
34;19178051;2019;22;;;
35;9819789;2020;22;;;
36;268492714;2021;22;;;
37;24075054;2019;3;;;
38;14527729;2020;3;;;
39;337050756;2021;3;;;
40;1232331317;2019;4;;;
41;737030111;2020;4;;;
42;17252638438;2021;4;;;
43;2212492;2019;8;;;
44;1132787;2020;8;;;
45;30974888;2021;8;;;
46;30365096;2019;9;;;
47;20055067;2020;9;;;
48;425111344;2021;9;;;
49;40307704;2019;16;;;
50;10386591;2020;16;;;
51;564307856;2021;16;;;
52;451897771;2019;5;;;
53;746783736;2020;5;;;
54;10456198970;2021;5;;;
55;31215223;2019;11;;;
56;16098297;2020;11;;;
57;437013122;2021;11;;;
58;18710392;2019;12;;;
59;13035859;2020;12;;;
60;261945488;2021;12;;;
61;10021034;2019;17;;;
62;16839163;2020;17;;;
63;117276138;2021;17;;;
