año;canton;provincia;tipoEmpresa;ventasTotales
2019;Atacames;Esmeraldas;Microempresa;280
2019;Muisne;Esmeraldas;Microempresa;349
2019;Atacames;Esmeraldas;Microempresa;14
2019;Eloy Alfaro;Esmeraldas;Microempresa;38290
2019;Esmeraldas;Esmeraldas;Microempresa;729
2019;Esmeraldas;Esmeraldas;Microempresa;66514
2019;Muisne;Esmeraldas;Microempresa;40
2019;Quinindé;Esmeraldas;Microempresa;9149
2019;Rioverde;Esmeraldas;Microempresa;51493
2019;San Lorenzo;Esmeraldas;Microempresa;1291
2019;Archidona;Napo;Microempresa;11851
2019;Tena;Napo;Microempresa;63991
2019;Tena;Napo;Microempresa;11085
2019;Tiwintza;Morona Santiago;Microempresa;40403
2019;Huamboya;Morona Santiago;Microempresa;14070
2019;Cuenca;Azuay;Pequeña empresa;202561
2019;Babahoyo;Los Ríos;Grande empresa;5161223
2019;Quito;Pichincha;Grande empresa;5833440
2019;Pedro Moncayo;Pichincha;"Mediana empresa ""A""";1998596
2019;Rumiñahui;Pichincha;"Mediana empresa ""A""";1212225
2019;Guayaquil;Guayas;"Mediana empresa ""A""";1007098
2019;Quito;Pichincha;"Mediana empresa ""A""";10457776
2019;Quito;Pichincha;"Mediana empresa ""A""";1866096
2019;Quito;Pichincha;"Mediana empresa ""A""";1429867
2019;Quito;Pichincha;"Mediana empresa ""A""";1842128
2019;Ambato;Tungurahua;"Mediana empresa ""A""";1297074
2019;Shushufindi;Sucumbíos;"Mediana empresa ""A""";1110857
2019;Baños de Agua Santa;Tungurahua;"Mediana empresa ""A""";1893611
2019;Patate;Tungurahua;"Mediana empresa ""A""";1627895
2019;Quito;Pichincha;"Mediana empresa ""B""";9751043
2019;Loreto;Orellana;Microempresa;51486
2019;Orellana;Orellana;Microempresa;14919
2019;Orellana;Orellana;Microempresa;91151
2019;Orellana;Orellana;Microempresa;3498
2019;El Guabo;El Oro;Microempresa;76045
2019;Orellana;Orellana;Microempresa;248285
